phase conc metric c4 c5 delta
prose 1 median_decode_tok_s 43.16030597769503 42.44018542825352 -0.7201205494415106
prose 1 median_ttft_s 0.16639571901760064 0.143704810005147 -0.02269090901245363
prose 1 n 3 3 0
prose 1 acceptance_len 2.455357142857143 2.090225563909774 -0.3651315789473686
prose 1 draft_acceptance_rate 0.4851190476190476 0.5451127819548872 0.0599937343358396
prose 1 median_completion_tokens 93 93 0
prose 2 median_decode_tok_s 36.22382974417995 37.11118120691254 0.8873514627325889
prose 2 median_ttft_s 0.16284051050024573 0.1717912850144785 0.008950774514232762
prose 2 n 6 6 0
prose 2 acceptance_len 1.699004975124378 1.5620608899297423 -0.13694408519463575
prose 2 draft_acceptance_rate 0.2330016583747927 0.2810304449648712 0.048028786590078476
prose 2 median_completion_tokens 97.0 94.5 -2.5
prose 8 median_decode_tok_s 24.3860807579167 26.9231292490557 2.537048491139
prose 8 median_ttft_s 0.23769858098239638 0.23171540199837182 -0.005983178984024562
prose 8 n 24 24 0
prose 8 acceptance_len 1.4886128364389233 1.5008156606851548 0.012202824246231536
prose 8 draft_acceptance_rate 0.16287094547964112 0.25040783034257746 0.08753688486293634
prose 8 median_completion_tokens 94.5 94.0 -0.5
structured 1 median_decode_tok_s 55.47245481389645 58.34118766715548 2.868732853259033
structured 1 median_ttft_s 0.15468396098003723 0.12103401200147346 -0.03364994897856377
structured 1 n 3 3 0
structured 1 acceptance_len 4.0 3.0 -1.0
structured 1 draft_acceptance_rate 1.0 1.0 0.0
structured 1 median_completion_tokens 200 200 0
structured 2 median_decode_tok_s 57.983234680693016 53.02072851911027 -4.962506161582745
structured 2 median_ttft_s 0.19498853900586255 0.1705790924897883 -0.02440944651607424
structured 2 n 6 6 0
structured 2 acceptance_len 2.0033444816053514 3.0 0.9966555183946486
structured 2 draft_acceptance_rate 0.33444816053511706 1.0 0.6655518394648829
structured 2 median_completion_tokens 200.0 200.0 0.0
structured 8 median_decode_tok_s 48.54607000693234 41.574586037861906 -6.971483969070434
structured 8 median_ttft_s 0.34484850997978356 0.32213484999374487 -0.022713659986038692
structured 8 n 24 24 0
structured 8 acceptance_len 2.2893982808022924 3.0 0.7106017191977076
structured 8 draft_acceptance_rate 0.4297994269340974 1.0 0.5702005730659025
structured 8 median_completion_tokens 200.0 200.0 0.0
